,kpm,okpm,a,k,d
0,0.0,0.0376884422110552,4,0,4
1,0.0376884422110552,0.2638190954773869,5,1,4
2,0.0376884422110552,0.1130653266331658,6,1,5
3,0.1130653266331658,0.414572864321608,1,3,4
4,0.0753768844221105,0.0,2,2,5
5,0.0376884422110552,0.0,12,1,1
6,0.2638190954773869,0.0376884422110552,6,7,1
7,0.1130653266331658,0.0376884422110552,10,3,2
8,0.414572864321608,0.1130653266331658,5,11,0
9,0.0,0.0753768844221105,18,0,3
10,0.0788091068301225,0.052539404553415,4,3,5
11,0.0262697022767075,0.0788091068301225,6,1,5
12,0.0262697022767075,0.1313485113835376,1,1,3
13,0.0788091068301225,0.1313485113835376,2,3,1
14,0.0,0.0262697022767075,4,0,2
15,0.052539404553415,0.0788091068301225,11,2,2
16,0.0788091068301225,0.0262697022767075,4,3,2
17,0.1313485113835376,0.0262697022767075,6,5,1
18,0.1313485113835376,0.0788091068301225,4,5,0
19,0.0262697022767075,0.0,9,1,3
20,0.0266075388026607,0.0798226164079822,14,1,2
21,0.0,0.0532150776053215,16,0,1
22,0.2660753880266075,0.0532150776053215,4,10,3
23,0.1862527716186252,0.0266075388026607,5,7,2
24,0.0,0.0,12,0,0
25,0.0798226164079822,0.0266075388026607,2,3,3
26,0.0532150776053215,0.0,2,2,6
27,0.0532150776053215,0.2660753880266075,1,2,3
28,0.0266075388026607,0.1862527716186252,4,1,2
29,0.0,0.0,3,0,4
30,0.0506542845082313,0.0,2,2,3
31,0.0253271422541156,0.0759814267623469,6,1,5
32,0.0759814267623469,0.1266357112705783,6,3,2
33,0.1266357112705783,0.2026171380329252,2,5,3
34,0.0253271422541156,0.0,8,1,3
35,0.0,0.0506542845082313,6,0,2
36,0.0759814267623469,0.0253271422541156,7,3,2
37,0.1266357112705783,0.0759814267623469,5,5,3
38,0.2026171380329252,0.1266357112705783,6,8,2
39,0.0,0.0253271422541156,10,0,3
40,0.025630072618539,0.0768902178556172,1,1,3
41,0.0,0.1281503630926954,0,0,4
42,0.025630072618539,0.025630072618539,0,1,1
43,0.0,0.025630072618539,0,0,1
44,0.0,0.0,1,0,1
45,0.0768902178556172,0.025630072618539,2,3,1
46,0.1281503630926954,0.0,1,5,0
47,0.025630072618539,0.025630072618539,7,1,1
48,0.025630072618539,0.0,4,1,0
49,0.0,0.0,8,0,0
50,0.099502487562189,0.033167495854063,5,3,1
51,0.066334991708126,0.033167495854063,8,2,1
52,0.099502487562189,0.0,3,3,1
53,0.132669983416252,0.066334991708126,3,4,2
54,0.033167495854063,0.033167495854063,9,1,0
55,0.033167495854063,0.099502487562189,1,1,3
56,0.033167495854063,0.066334991708126,3,1,3
57,0.0,0.099502487562189,3,0,1
58,0.066334991708126,0.132669983416252,1,2,2
59,0.033167495854063,0.033167495854063,2,1,4
60,0.0577478344562078,0.1154956689124157,3,2,4
61,0.1443695861405197,0.0866217516843118,5,5,4
62,0.0288739172281039,0.1443695861405197,3,1,4
63,0.1154956689124157,0.1443695861405197,5,4,2
64,0.0,0.0,8,0,3
65,0.1154956689124157,0.0577478344562078,6,4,0
66,0.0866217516843118,0.1443695861405197,9,3,2
67,0.1443695861405197,0.0288739172281039,6,5,2
68,0.1443695861405197,0.1154956689124157,4,5,4
69,0.0,0.0,12,0,4
70,0.0,0.0291970802919708,0,0,1
71,0.0,0.0291970802919708,3,0,2
72,0.0,0.1167883211678832,2,0,2
73,0.0583941605839416,0.0291970802919708,0,2,1
74,0.0291970802919708,0.0,2,1,1
75,0.0291970802919708,0.0,2,1,1
76,0.0291970802919708,0.0,4,1,1
77,0.1167883211678832,0.0,2,4,1
78,0.0291970802919708,0.0583941605839416,3,1,1
79,0.0,0.0291970802919708,6,0,1
80,0.165929203539823,0.0331858407079646,5,5,1
81,0.1991150442477876,0.1991150442477876,10,6,1
82,0.0995575221238938,0.0663716814159292,8,3,4
83,0.2654867256637168,0.0331858407079646,4,8,0
84,0.0,0.0331858407079646,7,0,5
85,0.0331858407079646,0.165929203539823,7,1,5
86,0.1991150442477876,0.1991150442477876,1,6,6
87,0.0663716814159292,0.0995575221238938,6,2,4
88,0.0331858407079646,0.2654867256637168,4,1,4
89,0.0331858407079646,0.0,5,1,3
90,0.1498751040799334,0.0499583680266444,7,6,2
91,0.0749375520399667,0.0999167360532889,5,3,4
92,0.1248959200666111,0.1498751040799334,10,5,7
93,0.1498751040799334,0.1498751040799334,6,6,3
94,0.0249791840133222,0.0249791840133222,11,1,3
95,0.0499583680266444,0.1498751040799334,6,2,4
96,0.0999167360532889,0.0749375520399667,11,4,5
97,0.1498751040799334,0.1248959200666111,6,6,3
98,0.1498751040799334,0.1498751040799334,3,6,5
99,0.0249791840133222,0.0249791840133222,13,1,4
100,0.0411805078929306,0.0,0,1,2
101,0.0411805078929306,0.2882635552505147,0,1,3
102,0.0,0.123541523678792,1,0,3
103,0.0411805078929306,0.123541523678792,1,1,2
104,0.0,0.0411805078929306,1,0,4
105,0.0,0.0411805078929306,6,0,1
106,0.2882635552505147,0.0411805078929306,6,7,0
107,0.123541523678792,0.0,6,3,0
108,0.123541523678792,0.0411805078929306,7,3,1
109,0.0411805078929306,0.0,10,1,1
110,0.1332593003886729,0.0666296501943364,1,4,3
111,0.0666296501943364,0.0666296501943364,4,2,4
112,0.0333148250971682,0.3664630760688506,3,1,6
113,0.0333148250971682,0.1665741254858412,4,1,4
114,0.0333148250971682,0.0,2,1,3
115,0.0666296501943364,0.1332593003886729,10,2,0
116,0.0666296501943364,0.0666296501943364,5,2,3
117,0.3664630760688506,0.0333148250971682,1,11,3
118,0.1665741254858412,0.0333148250971682,6,5,0
119,0.0,0.0333148250971682,10,0,3
120,0.0594059405940594,0.1188118811881188,3,2,4
121,0.1188118811881188,0.1188118811881188,3,4,3
122,0.0,0.1188118811881188,5,0,4
123,0.0594059405940594,0.0891089108910891,4,2,2
124,0.0,0.0891089108910891,4,0,5
125,0.1188118811881188,0.0594059405940594,8,4,1
126,0.1188118811881188,0.1188118811881188,10,4,3
127,0.1188118811881188,0.0,5,4,2
128,0.0891089108910891,0.0594059405940594,13,3,2
129,0.0891089108910891,0.0,14,3,0
130,0.0728744939271255,0.097165991902834,0,3,2
131,0.0242914979757085,0.048582995951417,3,1,2
132,0.0728744939271255,0.0242914979757085,2,3,3
133,0.0728744939271255,0.2186234817813765,3,3,3
134,0.0,0.0,6,0,6
135,0.097165991902834,0.0728744939271255,3,4,5
136,0.048582995951417,0.0242914979757085,12,2,3
137,0.0242914979757085,0.0728744939271255,14,1,0
138,0.2186234817813765,0.0728744939271255,4,9,0
139,0.0,0.0,14,0,2
140,0.0630749014454665,0.0473061760840998,10,4,4
141,0.0788436268068331,0.0157687253613666,10,5,3
142,0.0630749014454665,0.0788436268068331,5,4,2
143,0.1103810775295663,0.1103810775295663,9,7,3
144,0.0157687253613666,0.0,12,1,4
145,0.0473061760840998,0.0630749014454665,9,3,8
146,0.0157687253613666,0.0788436268068331,9,1,6
147,0.0788436268068331,0.0630749014454665,4,5,1
148,0.1103810775295663,0.1103810775295663,5,7,1
149,0.0,0.0157687253613666,13,0,5
